bank_txn_id,booking_date,value_date,amount,currency,counterparty_name,counterparty_account,description,channel
BTX-00000143,2026-02-11,2026-02-12,143.79,EUR,"Nelson, Weber and Parker",GB19OTPR19021976381170,PAYMENT INV-0000106 REF Tup0298,CARD
BTX-00000005,2026-03-29,2026-03-30,902.9,EUR,Collins Group,GB93LJBL85674881136581,PAYMENT RCT-0000056 RCT-0000081 INV-0000052 REF Vrs3749,CARD
BTX-00000043,2026-02-13,2026-02-14,59.54,EUR,"Riley, Campbell and Haney",GB14NJIS92435919955013,PAYMENT INV-0000069 REF mHu0493,CHECK
BTX-00000297,2026-02-03,2026-02-04,12.57,EUR,Greene LLC,GB72VTIY62809831923452,PAYMENT RCT-0000104 REF NCD8675,WIRE
BTX-00000081,2026-02-20,2026-02-21,321.85,GBP,Thompson LLC,GB10OQFS37090642417911,PAYMENT INV-0000035 REF qLT0916,CHECK
BTX-00000252,2026-02-18,2026-02-19,249.77,AED,White-Anderson,GB88IJYR75723675036431,PAYMENT RCT-0000052 REF ADH2500,CARD
BTX-00000085,2026-01-11,2026-01-10,227.57,USD,"Edwards, Harris and Mccoy",GB51XXFB64362494358685,PAYMENT INV-0000039 REF jpE5808,CASH
BTX-00000292,2026-01-10,2026-01-10,215.49,EUR,Smith Group,GB55EWMN49402668154182,PAYMENT RCT-0000099 REF AIH2265,ACH
BTX-00000265,2026-03-02,2026-03-01,32.21,USD,Craig LLC,GB77BUTT75171930586889,PAYMENT RCT-0000068 REF JBG2018,INTERNAL_TRANSFER
BTX-00000227,2026-02-20,2026-02-21,18.01,EUR,Coleman PLC,GB20ZFCY70477680098137,PAYMENT RCT-0000016 REF ZLW1416,CASH
BTX-00000094,2026-02-23,2026-02-22,349.23,GBP,Allen Ltd,GB86LMPM82130264115146,PAYMENT INV-0000049 REF ZKZ5161,CARD
BTX-00000100,2026-02-23,2026-02-22,347.23,GBP,,GB95WGPY54770056082069,PAYMENT INV-0000057 REF rch287,WIRE
BTX-00000351,2026-01-02,2026-01-01,0.88,EUR,George-Sosa,GB69ULWT82383822665524,PAYMENT  REF Yoq8588,ACH
BTX-00000229,2026-03-23,2026-03-24,217.39,EUR,"Alvarez, Newton and Molina",GB36MZMX90607183596337,PAYMENT RCT-0000019 REF hmU8062,ACH
BTX-00000025,2026-02-18,2026-02-17,16.28,AED,"Hebert, Benton and Alvarez",GB80AIVL75765279700699,PAYMENT RCT-0000113 REF heU9372,CARD
BTX-00000130,2026-02-03,2026-02-03,180.64,USD,Brown and Sons,GB84IEMU55592930914340,PAYMENT INV-0000090 REF MNO6952,INTERNAL_TRANSFER
BTX-00000050,2026-01-29,2026-01-29,84.31,USD,Bentley-Gomez,GB76BDGF99274363115284,PAYMENT INV-0000001 REF WJB9122,CHECK
BTX-00000121,2026-01-24,2026-01-24,281.36,EUR,"Stewart, Colon and Jones",GB80PQTX79581882283180,PAYMENT INV-0000081 REF OYZ1256,CASH
BTX-00000116,2026-02-18,2026-02-17,227.38,GBP,Rodriguez Inc,GB14HOPD54030256364743,PAYMENT INV-0000076 REF bAi3901,ACH
BTX-00000306,2026-02-17,2026-02-18,56.5,AED,Mora-Phillips,GB74XHSS27584036903782,PAYMENT RCT-0000117 REF lvf5227,CARD
BTX-00000163,2026-02-21,2026-02-21,253.48,EUR,Williams Inc,GB84QJZD07516887638833,PAYMENT INV-0000131 REF byk2501,WIRE
BTX-00000020,2026-02-06,2026-02-05,123.29,EUR,Williams-Guerra,GB98FOEX98485863128732,PAYMENT RCT-0000105 REF xsy6608,WIRE
BTX-00000079,2026-01-13,2026-01-13,99.67,AED,"Baker, Robinson and Brown",GB30AXQB94100666202677,PAYMENT INV-0000033 REF jjz2755,WIRE
BTX-00000256,2026-02-28,2026-02-28,20.2,EUR,Peterson and Sons,GB15CDFR52065394001261,PAYMENT RCT-0000058 REF vaM3238,WIRE
BTX-00000016,2026-03-01,2026-03-02,78.45,AED,"Gray, Dixon and Gilmore",GB65LXJR43124054379526,PAYMENT INV-0000053 REF DhO8969,CHECK
BTX-00000198,2026-01-23,2026-01-23,203.62,EUR,Austin-Hernandez,GB39DQUV03410429131695,PAYMENT INV-0000178 REF iNv5803,CHECK
BTX-00000031,2026-03-24,2026-03-23,35.07,GBP,Cervantes-Farrell,GB14OGFN41634056119785,,WIRE
BTX-00000218,2026-04-05,2026-04-05,29.6,GBP,Davis-Brown,GB18OBGO97217130423624,PAYMENT RCT-0000003 REF aFL7272,CHECK
BTX-00000287,2026-01-14,2026-01-13,78.34,GBP,"Smith, Perry and Newton",GB20NYPA23013008380050,PAYMENT RCT-0000093 REF Dzo3156,WIRE
BTX-00000302,2026-02-15,2026-02-15,171.81,GBP,"Johnson, Wu and Williams",GB09GWCT74156571882311,PAYMENT RCT-0000110 REF AkX3368,CASH
BTX-00000268,2026-01-27,2026-01-26,212.48,USD,Richards-Cain,GB12CJHI38567371114397,PAYMENT RCT-0000071 REF Ims7291,WIRE
BTX-00000070,2026-02-26,2026-02-26,14.46,EUR,"Davis, Williams and Savage",GB13HPEG39752349647637,,CASH
BTX-00000193,2026-01-20,2026-01-21,18.24,USD,"Kemp, Costa and Fowler",GB95GLPD74181421378935,PAYMENT INV-0000171 REF omj3340,WIRE
BTX-00000240,2026-02-07,2026-02-07,380.35,GBP,Lopez-Mayo,GB11AKOF82505281137681,PAYMENT RCT-0000034 REF jAo5417,ACH
BTX-00000226,2026-02-22,2026-02-23,225.92,USD,Summers PLC,GB32BTUY82351351152849,PAYMENT RCT-0000014 REF uNI3462,WIRE
BTX-00000261,2026-03-20,2026-03-20,54.4,USD,Wilson-Knapp,GB52VCDB46383552427132,PAYMENT RCT-0000063 REF Xdw5498,CASH
BTX-00000013,2026-02-14,2026-02-14,103.66,GBP,May-Russell,GB92SYBG08344945047771,PAYMENT RCT-0000116 REF muR8291,ACH
BTX-00000349,2026-01-24,2026-01-24,10.84,GBP,"Brown, York and Weaver",GB35VGZZ44677510562833,PAYMENT  REF Isi4374,ACH
BTX-00000157,2026-01-20,2026-01-19,83.9,GBP,"Young, Sullivan and Benton",GB70XHZL36537736776526,PAYMENT INV-0000121 REF IVn1595,WIRE
BTX-00000234,2026-03-19,2026-03-18,113.04,GBP,Kent Group,GB54VRXI22122476904301,PAYMENT RCT-0000025 REF APY1795,CARD
BTX-00000339,2026-01-25,2026-01-26,6.13,EUR,Smith Group,GB70WJZD41178245640456,PAYMENT  REF Nbu6145,CASH
BTX-00000232,2026-02-15,2026-02-15,141.63,USD,Hansen Inc,GB90OKKI21493573512692,,CASH
BTX-00000027,2026-02-28,2026-02-27,78.06,GBP,Williams Group,GB38OIIE48540240415522,PAYMENT INV-0000123 REF KCH7055,ACH
BTX-00000126,2026-01-30,2026-01-31,37.7,AED,Maxwell Ltd,GB06WDDF93982052119125,PAYMENT INV-0000086 REF RUE6560,WIRE
BTX-00000308,2026-02-01,2026-02-01,178.51,EUR,Ramos-Grant,GB08WKHT32318301545137,PAYMENT RCT-0000119 REF Whp9213,ACH
BTX-00000103,2026-02-05,2026-02-06,93.06,GBP,Evans-Wade,GB23HIVT41110682274566,PAYMENT INV-0000060 REF HFj0891,INTERNAL_TRANSFER
BTX-00000164,2026-02-15,2026-02-16,35.75,EUR,Henson Ltd,GB14XZVB03030148736299,PAMENT INV-0000132 REF MJv6413,CARD
BTX-00000305,2026-02-12,2026-02-13,24.66,GBP,Ford LLC,GB54JHKD39931506957318,PAYMENT RCT-0000115 REF ZcA2727,CHECK
BTX-00000319,2026-03-11,2026-03-11,75.02,USD,"Farmer, Henson and Mays",GB44IJEV97779685140125,PAYMENT RCT-0000132 REF gLl8136,CHECK
BTX-00000318,2026-03-15,2026-03-14,257.21,USD,"Johnson, Terry and Fleming",GB20HETO48803320040455,PAYMENT RCT-0000130 REF SFc3330,WIRE
BTX-00000220,2026-03-01,2026-03-01,156.77,EUR,Garcia Inc,GB82VGMF28660511772687,PAYMENT RCT-0000006 REF BgR2422,CHECK
BTX-00000218,2026-04-05,2026-04-05,29.6,GBP,Davis-Brown,GB18OBGO97217130423624,PAYMENT RCT-0000003 REF aFL7272,CHECK
BTX-00000152,2026-03-08,2026-03-07,203.14,GBP,Mason-Thomas,GB43DRHV06306863282118,PAYMENT INV-0000116 REF NNO9213,CHECK
BTX-00000148,2026-03-11,2026-03-11,210.5,EUR,Walker-Mcdonald,GB85ECDH47852002232315,PAYMENT INV-0000112 REF zHw3253,INTERNAL_TRANSFER
BTX-00000352,2025-12-28,2025-12-28,15.93,AED,Bender-Lucas,GB32TOND33848178894045,PAYMENT  RF iNV8785,CHECK
BTX-00000289,2026-01-28,2026-01-27,68.19,USD,Long-Simon,GB71GCAM78781333655822,PAYMENT RCT-0000095 REF EFx6320,CASH
BTX-00000099,2026-01-16,2026-01-15,38.73,AED,"Nunez, Poole and Garcia",GB68KLZS44105501891022,PAYMENT INV-0000056 REF eKb1568,CASH
BTX-00000167,2026-02-24,2026-02-23,123.71,EUR,Rios PLC,GB40YVSM27051964593625,PAYMENT INV-0000137 REF RlU7087,ACH
BTX-00000189,2026-02-01,2026-02-01,102.89,EUR,Bryan-Summers,GB64MWHB87420839382381,PAYMENT INV-0000165 REF hMt2794,ACH
BTX-00000115,2026-03-05,2026-03-05,78.4,GBP,Davis LLC,GB52HQJV08050111942104,PAYMENT INV-0000075 REF LrA5570,INTERNAL_TRANSFER
BTX-00000341,2026-02-01,2026-02-01,0.89,GBP,Morris and Sons,GB33XZQP97894307639926,PAYMENT  REF Jsr5846,CARD
BTX-00000069,2026-02-12,2026-02-12,54.66,USD,"Gordon, Martinez and Estrada",GB94FADG08623916238224,PAYMENT INV-0000021 REF XUg4078,CHECK
BTX-00000347,2026-01-31,2026-02-01,29.62,AED,Garcia Inc,GB17CEMC75649302657707,PYAMENT  REF wpq7136,CARD
BTX-00000089,2026-03-07,2026-03-08,57.77,AED,Oconnor PLC,GB13LSYO87849054061316,PAYMENT INV-0000043 REF eAM7805,CASH
BTX-00000283,2026-02-07,2026-02-06,48.94,GBP,"Bonilla, Marshall and Walsh",GB33CLGW50920943900400,PAMENT RCT-0000088 REF qyY9016,INTERNAL_TRANSFER
BTX-00000296,2026-01-23,2026-01-24,75.46,USD,"Johnson, Sims and Coffey",GB51XCIP79067681088959,PAYMENT RCT-0000103 REF NCl0627,ACH
BTX-00000246,2026-02-27,2026-02-27,189.01,EUR,"Russo, Curry and Bender",GB74JOSA59232803342379,PAYMENT RCT-0000043 REF yvS5082,CARD
BTX-00000017,2026-02-23,2026-02-24,15.34,AED,Lee PLC,GB60EHBK85418914829871,PAYMENT INV-0000053 REF yah1022,INTERNAL_TRANSFER
BTX-00000285,2026-03-09,2026-03-08,108.36,USD,"Campbell, Smith and Arnold",GB07JWSW44053844397391,PAYMENT RCT-0000091 REF ceM2883,CASH
BTX-00000281,2026-02-04,2026-02-05,76.42,USD,"Whitney, Williamson and Blackwell",GB63FBEF70191260187183,PAYMENT RCT-0000086 REF nSJ3046,INTERNAL_TRANSFER
BTX-00000338,2026-01-30,2026-01-31,9.9,USD,,GB23PHLZ50528053246915,PAYMENT  REF LiM7249,CARD
BTX-00000179,2026-03-04,2026-03-05,63.39,AED,Watts Inc,GB80BJOE03752946105181,PAYMENT INV-0000153 REF vVH8367,ACH
BTX-00000062,2026-02-18,2026-02-18,11.69,USD,"Hughes, Cooper and Owens",GB06ZZJY00479287035528,PAYMENT INV-0000014 REF oMd3008,WIRE
BTX-00000117,2026-01-06,2026-01-07,307.7,USD,"King, Humphrey and Johnson",GB06OZHI56691019309914,PAYMENT INV-0000077 RFE Cxf1436,CHECK
BTX-00000118,2026-02-28,2026-02-28,266.19,GBP,Woods-Wong,GB76GOPR47024277543268,,WIRE
BTX-00000142,2026-01-23,2026-01-23,154.5,AED,"Gill, Jones and Flowers",GB08JMRL12669463886103,PAYMENT INV-0000105 REF dAu6526,CASH
BTX-00000330,2026-03-09,2026-03-09,141.48,EUR,Chavez Group,GB69PWSS10335238120701,PAYMENT RCT-0000144 REF kYB7674,CARD
BTX-00000101,2026-03-27,2026-03-27,27.22,GBP,"Small, Burgess and Parker",GB56VRVU71506920595832,PAYMENT INV-0000058 REF rOW7465,CHECK
BTX-00000186,2026-03-18,2026-03-19,34.58,EUR,Perez LLC,GB07SLFQ28039649388985,PAYMENT INV-0000162 REF IBZ9660,CARD
BTX-00000322,2026-02-27,2026-02-26,319.3,USD,Davis and Sons,GB91EKMX60201615342013,PAYMENT RCT-000135 REF mKB7049,CASH
BTX-00000156,2026-02-04,2026-02-04,176.57,GBP,Powell-Cruz,GB07YZFW30080259379723,PAYMENT INV-0000120 REF Zen8617,ACH
BTX-00000344,2025-12-30,2025-12-30,0.47,AED,Sandoval Group,GB03UCWH55976325246335,PAYMENT  REF Uqv5850,ACH
BTX-00000022,2026-02-10,2026-02-10,42.09,EUR,Medina Ltd,GB06SWPA51658429553095,PAYMENT RCT-0000105 REF qzT0160,CARD
BTX-00000212,2026-01-07,2026-01-07,98.06,EUR,Scott-Anderson,GB18DJRQ90315675203276,PAYMENT INV-0000196 REF aip8772,INTERNAL_TRANSFER
BTX-00000200,2026-04-12,2026-04-12,173.48,USD,Baird-Jimenez,GB81ZGCC96766030159539,PAYMENT INV-0000180 REF IHL5554,CASH
BTX-00000048,2026-02-23,2026-02-23,8.92,GBP,"Winters, Harrington and Bowers",GB60PHDI56574273588557,PAYMENT RCT-0000048 REF ZgF8149,INTERNAL_TRANSFER
BTX-00000078,2026-02-20,2026-02-19,134.11,AED,"Smith, Davis and Carter",GB49FRTW23013857254354,PAYMENT INV-0000032 REF TjK5243,WIRE
BTX-00000324,2026-01-27,2026-01-28,348.18,USD,"Martinez, Brown and Harper",GB09XCJX38135709469421,PAYMENT RCT-0000137 REF CRq1377,CHECK
BTX-00000303,2026-02-17,2026-02-17,41.62,EUR,,GB15COKT81656258357966,PAYMENT RCT-0000111 REF kEA0338,INTERNAL_TRANSFER
BTX-00000191,2026-03-18,2026-03-18,56.4,GBP,"Christensen, Ho and Greene",GB85TUOY27857623581571,PAYMENT INV-0000168 REF wFH5342,CASH
BTX-00000210,2026-03-05,2026-03-04,170.81,USD,White-Delacruz,GB36YANE65693541109566,PAYMENT INV-0000193 REF JLG9606,WIRE
BTX-00000071,2025-12-30,2025-12-29,22.04,EUR,"Francis, Riley and Stanley",GB42LOXD46633858745747,PAYMENT IVN-0000025 REF ERn8195,CARD
BTX-00000181,2026-02-22,2026-02-21,145.69,EUR,Hicks Group,GB07AMMT57663154779568,PAYMENT INV-0000155 REF pUm0951,CHECK
BTX-00000090,2026-02-19,2026-02-20,255.03,AED,Lynn Group,GB63VCRR08368711605016,PAYMENT INV-0000044 REF leo5330,INTERNAL_TRANSFER
BTX-00000057,2026-02-03,2026-02-02,149.45,EUR,"Poole, Holmes and Mclaughlin",GB98GWOZ98447869893390,PAYMENT INV-0000008 REF QDU3212,WIRE
BTX-00000032,2026-03-09,2026-03-09,53.08,GBP,"Sanders, Copeland and James",GB24UYAS31963829695795,PAYMENT RCT-0000038 REF Jny5074,CASH
BTX-00000343,2025-12-25,2025-12-26,11.68,AED,Wise Group,GB23DHUS96574926570533,PAYMENT  REF mZL8446,CASH
BTX-00000260,2026-01-25,2026-01-24,23.72,EUR,Craig-Hernandez,GB44CVFZ24065691899238,PAYMENT RCT-0000062 REF lWW2353,
BTX-00000207,2026-02-13,2026-02-14,64.72,EUR,Lee and Sons,GB84XXQM01483241395091,PAYMENT INV-0000189 REF yPn3066,CARD
BTX-00000145,2026-02-22,2026-02-21,78.99,EUR,,GB76YPDG56355462951159,PAYMENT INV-0000109 REF fHi0945,INTERNAL_TRANSFER
BTX-00000124,2026-03-25,2026-03-24,34.56,GBP,Clark LLC,GB54WYBQ33907851321652,PAYMENT INV-0000084 REF wTf7905,CHECK
BTX-00000010,2026-03-10,2026-03-09,28.43,GBP,,GB69DBYX92141938011248,PAYMENT INV-0000094 REF hJZ0262,ACH
BTX-00000346,2026-02-11,2026-02-10,4.37,USD,Castillo PLC,GB55KKIB92961009086664,PAYMENT  REF DXv8686,ACH
BTX-00000340,2026-01-27,2026-01-27,0.79,AED,"Bryant, Peters and Turner",GB48OVPL06681277055540,PAYMENT  REF VnC2763,WIRE
BTX-00000077,2026-03-20,2026-03-21,233.63,EUR,Rosales PLC,GB54FNBS71258935160080,PAYMENT INV-0000031 REF jWE7929,INTERNAL_TRANSFER
BTX-00000060,2026-04-16,2026-04-16,411.31,USD,"Case, Phillips and Norman",GB29POWD76211010729309,PAYMENT INV-0000011 REF kFw3941,INTERNAL_TRANSFER
BTX-00000108,2026-01-16,2026-01-15,591.69,EUR,Richards-Heath,GB79VRDF53690909200972,PAYMENT INV-0000066 REF mAQ4618,INTERNAL_TRANSFER
BTX-00000309,2026-02-23,2026-02-22,151.59,USD,"Marquez, May and Butler",GB72PBFK90109354072209,PAYMENT RCT-0000120 REFF qT8495,CARD
BTX-00000247,2026-01-08,2026-01-07,44.42,EUR,Flores Ltd,GB89ODVM04260131154554,PAYMENT RCT-0000044 REF lxl9979,CASH
BTX-00000053,2026-01-26,2026-01-27,97.85,USD,Smith Inc,GB52BFDF75663851597056,PAYMENT INV-0000004 REF EOj8371,ACH
BTX-00000067,2026-01-24,2026-01-24,241.89,EUR,"Valencia, Caldwell and Schmidt",GB55RMKG09315904301808,PAYMENT INV-0000019 REF vAF1246,CARD
BTX-00000133,2026-03-23,2026-03-23,4.11,EUR,Key PLC,GB06ZJUR46096136852757,PAYMENT INV0-000093 REF mRd8648,WIRE
BTX-00000052,2026-03-02,2026-03-03,105.37,EUR,Bradley-Yoder,GB19GZHC36938964925532,PAYMENT INV-0000003 REF Gca4525,CHECK
BTX-00000125,2026-01-27,2026-01-28,139.82,AED,Landry LLC,GB29QCCK54509944110461,PAYMENT INV-0000085 REF iOR0792,INTERNAL_TRANSFER
BTX-00000214,2026-02-02,2026-02-01,159.01,EUR,Acosta-Hawkins,GB70OPFK67000783300928,PAYMENT INV-0000198 REF IqQ5424,CASH
BTX-00000107,2026-03-28,2026-03-29,45.35,AED,"Evans, Coleman and Johnson",GB12GZKF51576715802265,PAYMENT INV-0000065 REF hfj1444,CARD
BTX-00000328,2026-03-23,2026-03-22,46.64,AED,Williams-King,GB89XWBB43047969614420,PAYMENT RCT-0000141 REF Dba2436,WIRE
BTX-00000153,2026-03-29,2026-03-29,60.55,GBP,Espinoza-Kennedy,GB02QNFT69419386187888,PAYMENT INV-0000117 REF Xin9229,INTERNAL_TRANSFER
BTX-00000203,2026-02-18,2026-02-18,197.95,AED,"Carter, Clark and Coffey",GB84YWPP47530617670893,PAYMENT INV-0000183 REF zhm3698,INTERNAL_TRANSFER
BTX-00000056,2026-01-27,2026-01-26,96.57,EUR,Berry Ltd,GB41HXUF24067829811471,PAYMENT INV-0000007 REF LOT0828,ACH
BTX-00000337,2026-02-14,2026-02-13,3.79,AED,"Cox, Cooper and Meadows",GB95SOYO15419520726863,PAYMENT  REF EaZ8524,CASH
BTX-00000201,2025-12-25,2025-12-24,34.43,USD,Williams PLC,GB88VGND33105507081408,PAYMENT INV-0000181 REF TwP7423,INTERNAL_TRANSFER
BTX-00000179,2026-03-04,2026-03-05,63.39,AED,Watts Inc,GB80BJOE03752946105181,PAYMENT INV-0000153 REF vVH8367,ACH
BTX-00000047,2026-02-27,2026-02-27,39.04,GBP,,GB38BIWP43260903096295,PAYMENT RCT-0000048 REF Kdf0289,INTERNAL_TRANSFER
BTX-00000286,2026-01-12,2026-01-13,42.97,EUR,Bailey-Fletcher,GB09IHJH46075268499307,PAYMENT RCT-0000092 REF uFR4157,CHECK
BTX-00000026,2026-01-13,2026-01-14,14.52,AED,Hale-Campbell,GB93CLNA60721436030129,PAYMENT RCT-0000113 REF RZsf4906,CHECK
BTX-00000110,2026-02-02,2026-02-02,182.45,USD,Singh-Bennett,GB74KZNM42433011284524,PAYMENT INV-0000068 REF Iaj1016,CHECK
BTX-00000299,2026-04-07,2026-04-07,31.21,EUR,Martinez-Webster,GB25DPTC25337749609586,,CASH
BTX-00000276,2026-01-24,2026-01-25,164.61,GBP,"Holmes, Murray and Berry",GB36JCOU03007215576837,PAYMENT RCT-0000079 REF TZY1340,ACH
BTX-00000131,2026-03-15,2026-03-16,33.26,GBP,"Mosley, Castro and Peterson",GB43SSXO89003719347583,PAYMENT INV-0000091 REF LvU0197,INTERNAL_TRANSFER
BTX-00000332,2026-02-07,2026-02-08,72.61,EUR,"Savage, Griffin and Freeman",GB49EOXR98833055321268,PAYMENT RCT-0000146 REF iAD1837,
BTX-00000188,2026-03-09,2026-03-08,37.54,EUR,"Gutierrez, Reid and Alvarado",GB28YGBA59489378196459,PAYMENT INV-0000164 REF Wae6240,CASH
BTX-00000250,2026-03-15,2026-03-14,101.91,GBP,"Brown, Miller and Mclaughlin",GB41QALT96350309908749,PAYMENT RCT-0000049 REF uWA8755,WIRE
BTX-00000241,2026-03-01,2026-03-02,26.6,USD,Gibson LLC,GB03XNXV79935684181581,PAYMENT RCT-0000035REF wUZ6246,WIRE
BTX-00000007,2026-02-28,2026-03-01,238.89,USD,Bonilla Inc,GB42SQBN78460966777619,PAYMENT INV-0000176 RCT-0000114 REF uTM3183,INTERNAL_TRANSFER
BTX-00000185,2026-02-06,2026-02-05,14.89,EUR,Reyes-Jackson,GB94XUXT57872791658183,PAYMENT INV-0000161 REF EzM7755,CASH
BTX-00000093,2026-02-17,2026-02-18,369.52,AED,"Walker, Hancock and Martinez",GB19CBYI39880429702974,PAYMENT INV-0000048 REF lWE2491,WIRE
BTX-00000196,2026-02-11,2026-02-12,168.72,AED,"Rivera, Bailey and Richardson",GB11HGUZ05819225779516,PAYMENT INV-0000175 REF Gxz0921,CARD
BTX-00000041,2026-02-03,2026-02-03,30.84,EUR,"Mcconnell, Ford and Graham",GB19ZOJO36802971467370,PAYMENT INV-0000069 REF nSC0873,CHECK
BTX-00000132,2026-01-22,2026-01-21,53.86,USD,Davis and Sons,GB75MOEO48134517457759,PAYMENT INV-0000092 REF IFG6284,ACH
BTX-00000169,2026-02-07,2026-02-08,30.93,GBP,Townsend-Matthews,GB39HZIA87208625262240,PAYMENT INV-0000140 REF bBM3829,WIRE
BTX-00000018,2026-03-24,2026-03-25,21.18,AED,"Johnson, Lopez and Perry",GB78DKJF64168961015522,PAYMENT INV-0000053 REF NDI8454,INTERNAL_TRANSFER
BTX-00000227,2026-02-20,2026-02-21,18.01,EUR,Coleman PLC,GB20ZFCY70477680098137,PAYMENT RCT-0000016 REF ZLW1416,CASH
BTX-00000073,2026-02-13,2026-02-12,406.58,USD,Kaufman-Ruiz,GB44AEVG95961434945229,PAYMENT INV-0000027 REF QIt2909,WIRE
BTX-00000158,2026-02-01,2026-02-02,116.88,GBP,Blair Ltd,GB43NIOZ90658505309476,PAYMENT INV-0000125 REF fMU8135,CASH
BTX-00000112,2026-03-09,2026-03-09,27.71,AED,,GB30PYXC27131872275340,PAYMENT INV-0000071 REF sxH5745,ACH
BTX-00000087,2026-03-15,2026-03-16,24.27,EUR,Anderson-Jackson,GB13DUCC72480411250127,PAYMENT INV-0000041 REF XKY5713,
BTX-00000176,2026-01-06,2026-01-06,393.2,GBP,"Campbell, Vega and Miller",GB39NFZY55540712135147,PAYMENT INV-0000149 REF ZNd5084,CASH
BTX-00000036,2026-02-21,2026-02-21,6.47,USD,"Thomas, Edwards and Erickson",GB72UGVJ81114129527671,PAYMENT RCT-0000022 REF xlc8932,INTERNAL_TRANSFER
BTX-00000066,2026-02-18,2026-02-17,40.16,GBP,"Daniels, Rivera and Evans",GB34NPQZ82951244000535,PAYMENT INV-0000018 REF eVK8094,CHECK
BTX-00000172,2026-02-08,2026-02-07,229.39,GBP,Henry-Rubio,GB04DZRG92864966893714,PAYMENT INV-0000143 REF lEC6225,WIRE
BTX-00000199,2026-02-11,2026-02-10,180.15,EUR,Buchanan-Erickson,GB02PSZS85467843469639,PAYMENT INV-0000179 REF yRB5193,CHECK
BTX-00000002,2026-03-21,2026-03-20,622.98,USD,"Rivera, Gates and Maxwell",GB08JDFT57469451857372,PAYMENT INV-0000138 INV0000186 REF JwC5082,CASH
BTX-00000135,2026-01-28,2026-01-27,318.49,GBP,"Wright, Bell and Morgan",GB02CGNW12729314026865,PAYMENT INV-0000098 REF XnA2290,CHECK
BTX-00000258,2026-02-28,2026-03-01,66.42,USD,Lucas PLC,GB60FRRC39844977520351,PAYMENT RCT-0000060 REF Owo8683,WIRE
BTX-00000275,2026-01-16,2026-01-17,12.12,GBP,Williams-Torres,GB09BIGT49961583706686,PAYMENT RCT-0000078 REF fbb5860,INTERNAL_TRANSFER
