doc_id,doc_type,vendor_id,vendor_name,customer_id,customer_name,issue_date,due_date,currency,subtotal,tax_rate,tax_amount,shipping,total_amount,payment_terms,po_number,status
RCT-0000014,receipt,V00008,Beck-Morton,C00010,Jeffrey Andersen,2026-02-05,2026-03-22,USD,210.4,5,10.52,5,225.92,NET14,PO-501312,PAID
RCT-0000015,receipt,V00003,Scott Ltd,C00009,Jennifer Blackwell,2026-01-17,2026-03-18,USD,49.480000000000004,5,2.47,0,51.95,NET45,PO-746002,VOID
RCT-0000016,receipt,V00004,Miller-Johnson,C00012,William Owen,2025-12-24,2025-12-31,EUR,11.83,10,1.18,5,18.01,NET45,PO-429780,PAID
RCT-0000017,receipt,V00004,Miller-Johnson,C00036,Joseph Howard,2026-01-09,2026-01-16,EUR,59.28,15,8.89,20,88.17,DUE_ON_RECEIPT,PO-297810,VOID
RCT-0000018,receipt,V00005,Velasquez-Ortega,C00083,John Lam,2026-02-16,2026-03-02,AED,177.89,0,0.0,5,182.89,NET30,PO-238394,VOID
RCT-0000019,receipt,V00010,Ashley LLC,C00054,Michael Morris,2026-01-27,2026-03-28,EUR,179.82,0,0.0,10,189.82,DUE_ON_RECEIPT,PO-400404,VOID
RCT-0000020,receipt,V00007,"Hooper, Bauer and Brown",C00090,William Mora,2026-01-25,2026-02-01,EUR,136.4,5,6.82,20,163.22,NET30,PO-509711,OPEN
RCT-0000021,receipt,V00005,Velasquez-Ortega,C00090,William Mora,2026-01-23,2026-02-06,USD,137.35999999999999,15,20.6,20,177.96,NET7,PO-424314,PAID
RCT-0000022,receipt,V00002,Taylor-Odonnell,C00002,Barry Kirby,2026-01-05,2026-01-19,USD,17.560000000000002,15,2.63,5,25.19,NET14,PO-489933,PAID
RCT-0000023,receipt,V00005,Velasquez-Ortega,C00094,Michele Hall,2025-12-25,2026-01-01,USD,123.16,15,18.47,0,141.63,NET45,PO-577309,PARTIALLY_PAID
RCT-0000024,receipt,V00001,Adams-Lucas,C00064,Jack Jones,2025-12-27,2026-02-25,EUR,156.62,0,0.0,0,156.62,DUE_ON_RECEIPT,PO-102693,OPEN
RCT-0000025,receipt,V00001,Adams-Lucas,C00032,Timothy Wright,2026-02-17,2026-04-03,GBP,102.76,10,10.28,0,113.04,NET30,PO-360322,VOID
RCT-0000026,receipt,V00006,Newman Inc,C00035,Stephanie Maddox,2025-12-29,2026-01-05,GBP,43.71,0,0.0,0,43.71,NET14,PO-943409,OPEN
RCT-0000027,receipt,V00007,"Hooper, Bauer and Brown",C00009,Jennifer Blackwell,2025-12-25,2026-02-08,GBP,83.02,5,4.15,0,87.17,NET30,PO-691194,PARTIALLY_PAID
RCT-0000028,receipt,V00010,Ashley LLC,C00032,Timothy Wright,2026-01-21,2026-02-20,AED,108.68,0,0.0,10,118.68,NET7,PO-344315,PARTIALLY_PAID
RCT-0000029,receipt,V00001,Adams-Lucas,C00043,Andrew Roach,2026-02-19,2026-04-05,GBP,8.02,5,0.4,10,18.42,NET45,PO-162804,PAID
RCT-0000030,receipt,V00005,Velasquez-Ortega,C00012,William Owen,2026-02-17,2026-03-03,AED,105.42999999999999,5,5.27,10,120.7,NET7,PO-720647,OPEN
RCT-0000031,receipt,V00007,"Hooper, Bauer and Brown",C00085,Andrew Gonzalez,2026-02-11,2026-02-25,GBP,238.54000000000002,5,11.93,10,260.47,NET30,PO-344959,OPEN
RCT-0000032,receipt,V00004,Miller-Johnson,C00018,Ashley Mccarthy,2026-01-01,2026-03-02,USD,36.510000000000005,10,3.65,5,45.16,NET45,PO-226601,PARTIALLY_PAID
RCT-0000033,receipt,V00004,Miller-Johnson,C00058,Elizabeth Pacheco,2026-01-31,2026-03-17,GBP,90.71,5,4.54,20,115.25,NET7,PO-325465,PARTIALLY_PAID
RCT-0000034,receipt,V00003,Scott Ltd,C00012,William Owen,2026-01-05,2026-01-19,GBP,336.68,10,33.67,10,380.35,DUE_ON_RECEIPT,PO-884417,PAID
RCT-0000035,receipt,V00002,Taylor-Odonnell,C00060,Amanda Johnson,2026-02-13,2026-02-27,USD,25.33,5,1.27,0,26.6,NET14,PO-963684,VOID
RCT-0000036,receipt,V00006,Newman Inc,C00088,Scott Contreras,2026-01-10,2026-01-17,GBP,26.39,5,1.32,10,37.71,NET14,PO-196446,PARTIALLY_PAID
RCT-0000037,receipt,V00002,Taylor-Odonnell,C00006,Jody Smith,2025-12-21,2026-02-04,USD,278.93,10,27.89,10,316.82,NET7,PO-501320,VOID
RCT-0000038,receipt,V00003,Scott Ltd,C00046,Joan Bridges,2026-02-06,2026-02-20,GBP,120.17,15,18.03,0,138.2,NET30,PO-623125,VOID
RCT-0000039,receipt,V00009,Hernandez-Elliott,C00062,Sergio Griffin,2026-02-16,2026-02-23,GBP,161.9,15,24.29,0,186.19,NET45,PO-919898,PARTIALLY_PAID
RCT-0000040,receipt,V00008,Beck-Morton,C00070,Thomas Johnson,2025-12-31,2026-02-14,GBP,190.78,5,9.54,0,200.32,NET30,PO-161437,VOID
RCT-0000041,receipt,V00009,Hernandez-Elliott,C00046,Joan Bridges,2026-01-01,2026-03-02,EUR,21.3,5,1.06,5,27.36,DUE_ON_RECEIPT,PO-955937,OPEN
RCT-0000042,receipt,V00004,Miller-Johnson,C00074,Ellen Patterson,2025-12-27,2026-02-10,GBP,79.78,5,3.99,5,88.77,DUE_ON_RECEIPT,PO-129576,PARTIALLY_PAID
RCT-0000043,receipt,V00010,Ashley LLC,C00073,Jeffrey Juarez,2026-02-10,2026-04-11,EUR,164.36,15,24.65,0,189.01,NET7,PO-652021,VOID
RCT-0000044,receipt,V00001,Adams-Lucas,C00043,Andrew Roach,2025-12-23,2026-02-21,EUR,42.3,5,2.12,0,44.42,NET7,PO-254887,PAID
RCT-0000045,receipt,V00002,Taylor-Odonnell,C00068,Gina Prince,2025-12-26,2026-01-25,USD,163.76,5,8.19,5,176.95,NET14,PO-265154,VOID
RCT-0000046,receipt,V00008,Beck-Morton,C00084,Paige Marsh,2026-01-30,2026-02-13,GBP,94.10000000000001,5,4.71,5,103.81,NET14,PO-286340,OPEN
RCT-0000047,receipt,V00010,Ashley LLC,C00051,Andre Gray,2025-12-27,2026-02-25,USD,34.29,5,1.71,20,56.0,NET7,PO-620287,PAID
RCT-0000048,receipt,V00006,Newman Inc,C00096,Larry Norman,2026-02-15,2026-03-01,GBP,102.84,5,5.14,10,117.98,NET7,PO-378095,PAID
RCT-0000049,receipt,V00004,Miller-Johnson,C00089,Lee Austin,2026-02-15,2026-03-17,GBP,91.91,0,0.0,10,101.91,NET45,PO-868170,VOID
RCT-0000050,receipt,V00003,Scott Ltd,C00053,Paul Mcneil,2026-01-19,2026-03-05,GBP,186.23,10,18.62,0,204.85,NET7,PO-409234,OPEN
RCT-0000051,receipt,V00006,Newman Inc,C00034,Angela Holloway,2025-12-21,2025-12-28,USD,114.33,0,0.0,5,119.33,DUE_ON_RECEIPT,PO-743453,VOID
RCT-0000052,receipt,V00001,Adams-Lucas,C00056,James Harris,2025-12-21,2026-01-04,AED,245.96,5,12.3,0,258.26,NET45,PO-831063,PARTIALLY_PAID
RCT-0000053,receipt,V00005,Velasquez-Ortega,C00039,Sharon Gibbs,2026-02-04,2026-02-11,USD,190.87,10,19.09,0,209.96,NET30,PO-963918,VOID
RCT-0000054,receipt,V00004,Miller-Johnson,C00013,Julian Cardenas,2026-02-18,2026-03-04,EUR,60.959999999999994,10,6.1,10,77.06,NET30,PO-195563,VOID
RCT-0000055,receipt,V00003,Scott Ltd,C00048,Amanda Johnson,2025-12-25,2026-02-08,GBP,25.669999999999998,10,2.57,10,38.24,NET30,PO-337232,PARTIALLY_PAID
RCT-0000056,receipt,V00010,Ashley LLC,C00008,James Howe,2026-02-10,2026-02-17,USD,582.65,10,58.27,20,660.92,NET45,PO-661527,VOID
RCT-0000057,receipt,V00010,Ashley LLC,C00031,Melissa Ramirez MD,2026-01-20,2026-02-19,USD,157.6,15,23.64,0,181.24,NET7,PO-893969,VOID
RCT-0000058,receipt,V00003,Scott Ltd,C00022,Linda Rodriguez,2026-02-06,2026-02-20,EUR,10.2,0,0.0,10,20.2,NET14,PO-962520,PAID
RCT-0000059,receipt,V00010,Ashley LLC,C00034,Angela Holloway,2026-01-30,2026-02-06,USD,104.78,0,0.0,20,124.78,DUE_ON_RECEIPT,PO-647945,VOID
RCT-0000060,receipt,V00002,Taylor-Odonnell,C00054,Michael Morris,2026-02-10,2026-02-24,USD,44.21,5,2.21,20,66.42,NET30,PO-530849,PARTIALLY_PAID
RCT-0000061,receipt,V00007,"Hooper, Bauer and Brown",C00084,Paige Marsh,2026-01-19,2026-03-20,AED,73.54,5,3.68,10,87.22,NET14,PO-748276,VOID
RCT-0000062,receipt,V00001,Adams-Lucas,C00051,Andre Gray,2025-12-25,2026-01-24,EUR,16.19,10,1.62,5,22.81,NET30,PO-121215,PARTIALLY_PAID
RCT-0000063,receipt,V00005,Velasquez-Ortega,C00040,Christopher Bauer,2026-02-02,2026-03-19,USD,47.05,5,2.35,5,54.4,NET45,PO-734366,OPEN
RCT-0000064,receipt,V00004,Miller-Johnson,C00057,Ian Crosby,2026-02-06,2026-03-23,AED,121.16,15,18.17,10,149.33,NET14,PO-918430,OPEN
RCT-0000065,receipt,V00003,Scott Ltd,C00025,Katherine Thomas,2025-12-25,2026-01-08,USD,118.72999999999999,5,5.94,5,129.67,NET30,PO-963508,VOID
RCT-0000066,receipt,V00009,Hernandez-Elliott,C00051,Andre Gray,2026-01-10,2026-01-17,USD,153.59,5,7.68,10,171.27,DUE_ON_RECEIPT,PO-678115,PARTIALLY_PAID
RCT-0000067,receipt,V00006,Newman Inc,C00021,Richard Key,2025-12-28,2026-01-27,USD,250.79000000000002,5,12.54,0,263.33,NET14,PO-810614,PAID
RCT-0000068,receipt,V00005,Velasquez-Ortega,C00084,Paige Marsh,2026-01-24,2026-03-25,USD,30.68,5,1.53,0,32.21,DUE_ON_RECEIPT,PO-939767,OPEN
RCT-0000069,receipt,V00004,Miller-Johnson,C00033,Melissa Wright,2026-01-12,2026-02-11,GBP,133.67000000000002,15,20.05,20,173.72,NET45,PO-712879,OPEN
RCT-0000070,receipt,V00001,Adams-Lucas,C00066,Justin Romero,2026-01-08,2026-02-07,GBP,52.04,5,2.6,5,59.64,NET30,PO-373832,PARTIALLY_PAID
RCT-0000071,receipt,V00004,Miller-Johnson,C00020,Cameron Patterson,2026-01-17,2026-01-31,USD,188.62,10,18.86,5,212.48,NET30,PO-538897,VOID
RCT-0000072,receipt,V00007,"Hooper, Bauer and Brown",C00095,Jaime Rivers,2026-02-17,2026-04-18,EUR,101.24,10,10.12,5,116.36,DUE_ON_RECEIPT,PO-414777,PAID
RCT-0000073,receipt,V00009,Hernandez-Elliott,C00024,Melissa Gaines,2026-02-01,2026-02-08,AED,140.92,15,21.14,0,162.06,NET30,PO-786224,OPEN
RCT-0000074,receipt,V00004,Miller-Johnson,C00046,Joan Bridges,2026-02-05,2026-03-07,AED,67.22999999999999,10,6.72,0,73.95,DUE_ON_RECEIPT,PO-708502,OPEN
RCT-0000075,receipt,V00008,Beck-Morton,C00025,Katherine Thomas,2026-01-18,2026-01-25,AED,170.82999999999998,5,8.54,10,189.37,DUE_ON_RECEIPT,PO-579798,PAID
RCT-0000076,receipt,V00006,Newman Inc,C00092,Frank Reed,2026-02-08,2026-02-15,AED,89.26,10,8.93,5,103.19,NET14,PO-898169,PAID
RCT-0000077,receipt,V00010,Ashley LLC,C00098,Elizabeth Johnson,2026-02-09,2026-03-26,USD,92.29,10,9.23,10,111.52,NET45,PO-600590,VOID
RCT-0000078,receipt,V00001,Adams-Lucas,C00005,Aaron Cook,2026-01-16,2026-01-30,GBP,10.54,15,1.58,0,12.12,NET7,PO-809621,OPEN
RCT-0000079,receipt,V00004,Miller-Johnson,C00029,Phillip Washington,2026-01-06,2026-02-05,GBP,138.79,15,20.82,5,164.61,NET14,PO-168458,OPEN
RCT-0000080,receipt,V00005,Velasquez-Ortega,C00038,Erica Robinson,2026-01-21,2026-03-22,GBP,176.41,10,17.64,0,194.05,NET14,PO-335217,PAID
RCT-0000081,receipt,V00004,Miller-Johnson,C00094,Michele Hall,2026-02-18,2026-04-19,EUR,30.240000000000002,0,0.0,10,40.24,NET30,PO-908713,OPEN
RCT-0000082,receipt,V00010,Ashley LLC,C00007,Christina Castaneda,2026-01-08,2026-01-15,USD,22.08,0,0.0,10,32.08,NET45,PO-498724,OPEN
RCT-0000083,receipt,V00009,Hernandez-Elliott,C00033,Melissa Wright,2026-01-20,2026-02-03,EUR,24.46,10,2.45,0,26.91,DUE_ON_RECEIPT,PO-383091,PAID
RCT-0000084,receipt,V00007,"Hooper, Bauer and Brown",C00014,Joseph Rasmussen,2026-01-18,2026-03-19,USD,248.91,5,12.45,5,266.36,DUE_ON_RECEIPT,PO-311469,PARTIALLY_PAID
RCT-0000085,receipt,V00007,"Hooper, Bauer and Brown",C00038,Erica Robinson,2026-02-09,2026-02-16,AED,64.55,0,0.0,0,64.55,NET7,PO-215795,VOID
RCT-0000086,receipt,V00003,Scott Ltd,C00012,William Owen,2026-01-01,2026-03-02,USD,63.26,5,3.16,10,76.42,NET30,PO-376955,VOID
RCT-0000087,receipt,V00001,Adams-Lucas,C00013,Julian Cardenas,2025-12-29,2026-01-12,USD,297.84000000000003,0,0.0,0,297.84,NET7,PO-110142,PAID
RCT-0000088,receipt,V00003,Scott Ltd,C00043,Andrew Roach,2026-01-28,2026-03-14,GBP,46.61,5,2.33,0,48.94,NET45,PO-519692,VOID
RCT-0000089,receipt,V00005,Velasquez-Ortega,C00050,Erin Alvarado,2026-01-06,2026-02-20,AED,42.71,0,0.0,0,42.71,NET7,PO-536236,VOID
RCT-0000090,receipt,V00010,Ashley LLC,C00087,Patricia Griffith,2026-01-22,2026-02-05,AED,81.61,10,8.16,0,89.77,NET45,PO-562094,OPEN
RCT-0000091,receipt,V00002,Taylor-Odonnell,C00034,Angela Holloway,2026-01-09,2026-02-08,USD,94.23,15,14.13,0,108.36,NET45,PO-793856,PAID
RCT-0000092,receipt,V00008,Beck-Morton,C00045,Jennifer Morrison,2026-01-08,2026-02-22,EUR,21.88,5,1.09,20,42.97,NET45,PO-993251,VOID
RCT-0000093,receipt,V00003,Scott Ltd,C00010,Jeffrey Andersen,2026-01-02,2026-02-16,GBP,55.56,5,2.78,20,78.34,NET45,PO-522866,PAID
RCT-0000094,receipt,V00002,Taylor-Odonnell,C00059,Kari Johnson,2026-01-22,2026-03-23,AED,90.09,5,4.5,0,94.59,NET45,PO-881439,OPEN
RCT-0000095,receipt,V00002,Taylor-Odonnell,C00052,Anthony Cox,2026-01-24,2026-01-31,USD,45.9,5,2.29,20,68.19,DUE_ON_RECEIPT,PO-316899,VOID
RCT-0000096,receipt,V00006,Newman Inc,C00047,Kenneth Faulkner,2025-12-29,2026-01-05,EUR,84.2,10,8.42,0,92.62,NET7,PO-896204,PAID
RCT-0000097,receipt,V00001,Adams-Lucas,C00044,Paula Robinson DVM,2026-01-28,2026-02-27,GBP,63.96,10,6.4,0,70.36,NET45,PO-212157,PARTIALLY_PAID
RCT-0000098,receipt,V00010,Ashley LLC,C00026,Scott Snyder,2026-02-07,2026-02-14,AED,84.42,0,0.0,10,94.42,NET7,PO-764000,OPEN
RCT-0000099,receipt,V00008,Beck-Morton,C00059,Kari Johnson,2026-01-08,2026-03-09,EUR,187.38,15,28.11,0,215.49,DUE_ON_RECEIPT,PO-282085,PAID
RCT-0000100,receipt,V00002,Taylor-Odonnell,C00050,Erin Alvarado,2026-01-08,2026-03-09,GBP,164.92000000000002,5,8.25,10,183.17,NET14,PO-244892,VOID
RCT-0000101,receipt,V00010,Ashley LLC,C00090,William Mora,2025-12-25,2026-02-23,GBP,88.03,5,4.4,20,112.43,NET30,PO-819964,PARTIALLY_PAID
RCT-0000102,receipt,V00003,Scott Ltd,C00091,Kelly Foster,2026-01-09,2026-01-23,GBP,39.05,10,3.9,20,62.95,DUE_ON_RECEIPT,PO-799565,VOID
RCT-0000103,receipt,V00009,Hernandez-Elliott,C00037,Lynn Odom,2025-12-25,2026-02-08,USD,71.87,5,3.59,0,75.46,NET7,PO-309612,PARTIALLY_PAID
RCT-0000104,receipt,V00003,Scott Ltd,C00037,Lynn Odom,2026-01-07,2026-02-06,EUR,11.97,5,0.6,0,12.57,DUE_ON_RECEIPT,PO-133875,PARTIALLY_PAID
RCT-0000105,receipt,V00008,Beck-Morton,C00014,Joseph Rasmussen,2026-01-11,2026-03-12,EUR,294.87,10,29.49,10,334.36,NET45,PO-926394,PARTIALLY_PAID
RCT-0000106,receipt,V00009,Hernandez-Elliott,C00007,Christina Castaneda,2026-02-19,2026-03-21,EUR,142.76,15,21.41,0,164.17,NET14,PO-408467,VOID
RCT-0000107,receipt,V00003,Scott Ltd,C00088,Scott Contreras,2026-02-15,2026-03-01,EUR,23.83,10,2.38,5,31.21,DUE_ON_RECEIPT,PO-377075,PAID
RCT-0000108,receipt,V00003,Scott Ltd,C00075,Tony Schneider,2025-12-27,2026-01-26,USD,97.78,15,14.67,0,112.45,DUE_ON_RECEIPT,PO-984096,PARTIALLY_PAID
RCT-0000109,receipt,V00008,Beck-Morton,C00074,Ellen Patterson,2026-01-15,2026-02-14,USD,180.31,5,9.02,10,199.33,DUE_ON_RECEIPT,PO-663123,VOID
RCT-0000110,receipt,V00002,Taylor-Odonnell,C00045,Jennifer Morrison,2026-02-05,2026-02-19,GBP,149.4,15,22.41,0,171.81,NET7,PO-801432,PARTIALLY_PAID
RCT-0000111,receipt,V00008,Beck-Morton,C00031,Melissa Ramirez MD,2025-12-24,2026-02-22,EUR,30.11,5,1.51,10,41.62,NET7,PO-504620,PARTIALLY_PAID
RCT-0000112,receipt,V00009,Hernandez-Elliott,C00093,Keith Smith,2026-02-01,2026-02-08,GBP,113.03,0,0.0,0,113.03,DUE_ON_RECEIPT,PO-659106,OPEN
RCT-0000113,receipt,V00002,Taylor-Odonnell,C00027,Mr. Gerald Lozano DDS,2026-01-08,2026-01-22,AED,28.16,10,2.82,0,30.98,NET14,PO-124906,VOID
RCT-0000114,receipt,V00006,Newman Inc,C00005,Aaron Cook,2026-02-14,2026-02-21,USD,59.82,15,8.97,0,68.79,NET30,PO-527433,VOID
RCT-0000115,receipt,V00008,Beck-Morton,C00081,Ryan Jordan,2026-01-25,2026-03-11,GBP,4.66,0,0.0,20,24.66,NET7,PO-772580,OPEN
RCT-0000116,receipt,V00010,Ashley LLC,C00006,Jody Smith,2026-01-06,2026-01-13,GBP,120.52000000000001,5,6.03,20,146.55,NET7,PO-395192,VOID
RCT-0000117,receipt,V00007,"Hooper, Bauer and Brown",C00051,Andre Gray,2025-12-29,2026-01-05,AED,33.18,10,3.32,20,56.5,NET30,PO-764845,PAID
RCT-0000118,receipt,V00005,Velasquez-Ortega,C00087,Patricia Griffith,2025-12-25,2026-01-24,USD,36.31,15,5.45,20,61.76,NET45,PO-663244,OPEN
RCT-0000119,receipt,V00005,Velasquez-Ortega,C00027,Mr. Gerald Lozano DDS,2026-01-03,2026-02-02,EUR,170.01,5,8.5,0,178.51,NET7,PO-290167,OPEN
RCT-0000120,receipt,V00009,Hernandez-Elliott,C00060,Amanda Johnson,2026-01-09,2026-03-10,USD,115.33000000000001,15,17.3,10,142.63,NET30,PO-474486,PAID
RCT-0000121,receipt,V00004,Miller-Johnson,C00013,Julian Cardenas,2026-02-01,2026-04-02,USD,150.14000000000001,15,22.52,5,177.66,DUE_ON_RECEIPT,PO-259797,PARTIALLY_PAID
RCT-0000122,receipt,V00006,Newman Inc,C00055,Gary Newton,2026-02-09,2026-02-16,GBP,313.45,10,31.34,5,349.79,NET30,PO-240829,PARTIALLY_PAID
RCT-0000123,receipt,V00008,Beck-Morton,C00060,Amanda Johnson,2026-01-22,2026-02-21,GBP,240.06,15,36.01,0,276.07,NET30,PO-869177,OPEN
RCT-0000124,receipt,V00002,Taylor-Odonnell,C00003,Daniel Cruz,2025-12-27,2026-02-25,USD,209.6,10,20.96,0,230.56,NET30,PO-511564,PAID
RCT-0000125,receipt,V00010,Ashley LLC,C00094,Michele Hall,2025-12-27,2026-01-26,EUR,123.63,5,6.18,20,149.81,NET14,PO-893988,PAID
RCT-0000126,receipt,V00008,Beck-Morton,C00021,Richard Key,2026-02-08,2026-04-09,EUR,184.25,5,9.21,0,193.46,NET14,PO-643042,PARTIALLY_PAID
RCT-0000127,receipt,V00007,"Hooper, Bauer and Brown",C00061,Victoria Hudson,2025-12-23,2026-02-06,USD,13.52,5,0.68,0,14.2,DUE_ON_RECEIPT,PO-764343,PARTIALLY_PAID
RCT-0000128,receipt,V00005,Velasquez-Ortega,C00075,Tony Schneider,2026-01-16,2026-03-17,EUR,165.34,5,8.27,10,183.61,NET14,PO-641455,VOID
RCT-0000129,receipt,V00006,Newman Inc,C00045,Jennifer Morrison,2026-01-19,2026-03-05,USD,131.58,0,0.0,20,151.58,NET30,PO-321791,PAID
RCT-0000130,receipt,V00003,Scott Ltd,C00021,Richard Key,2026-01-27,2026-03-28,USD,224.74,10,22.47,10,257.21,NET45,PO-320939,PAID
RCT-0000131,receipt,V00007,"Hooper, Bauer and Brown",C00003,Daniel Cruz,2026-02-04,2026-02-11,EUR,75.8,0,0.0,20,95.8,NET14,PO-158627,PAID
RCT-0000132,receipt,V00005,Velasquez-Ortega,C00024,Melissa Gaines,2026-01-17,2026-03-03,USD,68.2,10,6.82,0,75.02,NET14,PO-970699,VOID
RCT-0000133,receipt,V00010,Ashley LLC,C00019,Sarah Cooper,2025-12-31,2026-03-01,EUR,302.95,15,45.44,20,368.39,NET7,PO-340977,VOID
RCT-0000134,receipt,V00007,"Hooper, Bauer and Brown",C00017,Jacob Hardy,2026-02-13,2026-02-20,EUR,668.35,0,0.0,20,688.35,DUE_ON_RECEIPT,PO-888930,OPEN
RCT-0000135,receipt,V00002,Taylor-Odonnell,C00062,Sergio Griffin,2026-01-08,2026-01-22,USD,294.57,5,14.73,10,319.3,NET45,PO-467544,OPEN
RCT-0000136,receipt,V00007,"Hooper, Bauer and Brown",C00018,Ashley Mccarthy,2026-02-03,2026-03-20,EUR,66.35,15,9.95,10,86.3,NET30,PO-298202,OPEN
RCT-0000137,receipt,V00001,Adams-Lucas,C00074,Ellen Patterson,2026-01-17,2026-01-24,USD,322.08,5,16.1,10,348.18,DUE_ON_RECEIPT,PO-365953,PARTIALLY_PAID
RCT-0000138,receipt,V00009,Hernandez-Elliott,C00055,Gary Newton,2026-01-14,2026-02-13,GBP,194.35999999999999,15,29.15,20,243.51,NET45,PO-366105,PARTIALLY_PAID
RCT-0000139,receipt,V00010,Ashley LLC,C00045,Jennifer Morrison,2026-01-01,2026-02-15,EUR,50.64,10,5.06,0,55.7,NET7,PO-324875,VOID
RCT-0000140,receipt,V00006,Newman Inc,C00071,Jacqueline Andrews,2026-01-11,2026-01-18,EUR,261.59,0,0.0,0,261.59,NET30,PO-332542,PARTIALLY_PAID
RCT-0000141,receipt,V00002,Taylor-Odonnell,C00078,Leslie King,2026-02-17,2026-04-03,AED,33.31,10,3.33,10,46.64,NET7,PO-311505,PARTIALLY_PAID
RCT-0000142,receipt,V00004,Miller-Johnson,C00005,Aaron Cook,2025-12-31,2026-03-01,EUR,35.61,5,1.78,0,37.39,NET14,PO-191061,PARTIALLY_PAID
RCT-0000143,receipt,V00007,"Hooper, Bauer and Brown",C00046,Joan Bridges,2026-01-08,2026-02-22,AED,55.08,0,0.0,0,55.08,DUE_ON_RECEIPT,PO-398313,PARTIALLY_PAID
RCT-0000144,receipt,V00006,Newman Inc,C00036,Joseph Howard,2026-02-05,2026-04-06,EUR,123.03,15,18.45,0,141.48,DUE_ON_RECEIPT,PO-408545,PARTIALLY_PAID
RCT-0000145,receipt,V00002,Taylor-Odonnell,C00066,Justin Romero,2026-02-03,2026-04-04,GBP,263.37,15,39.51,0,302.88,NET45,PO-221916,PARTIALLY_PAID
RCT-0000146,receipt,V00002,Taylor-Odonnell,C00049,Lauren Watson,2026-01-10,2026-01-24,EUR,69.15,5,3.46,0,72.61,NET30,PO-197527,VOID
RCT-0000147,receipt,V00006,Newman Inc,C00010,Jeffrey Andersen,2026-01-15,2026-01-29,AED,137.06,5,6.85,10,153.91,NET14,PO-346269,PAID
RCT-0000148,receipt,V00005,Velasquez-Ortega,C00027,Mr. Gerald Lozano DDS,2026-02-05,2026-02-19,EUR,159.75,10,15.97,20,195.72,NET7,PO-901368,OPEN
RCT-0000149,receipt,V00008,Beck-Morton,C00048,Amanda Johnson,2026-01-11,2026-02-10,AED,95.23,5,4.76,20,119.99,NET14,PO-156778,VOID
RCT-0000150,receipt,V00008,Beck-Morton,C00070,Thomas Johnson,2026-02-17,2026-04-18,GBP,102.66,5,5.13,0,107.79,NET7,PO-806848,PAID
